originalTitle,features
Hacivat Karagöz Neden Öldürüldü?,"Comedy,Drama,History, nm0082211, nm0015121"
Hacksaw Ridge,"Biography,Drama,History, nm1940449, nm0000154"
Hadashi no Gen,"Animation,Biography,Drama, nm0594506, nm0556048"
Haider,"Action,Crime,Drama, nm1372788, nm0080235"
Hair,"Comedy,Drama,Musical, nm0001698, nm0001232"
Halloween,"Horror,Thriller, nm0000587, nm0000118"
Hamilton,"Biography,Drama,History, nm0592135, nm2371802"
Hamlet,"Drama, nm0000110"
Hamoun,"Drama, nm0258168, nm0576529"
Hana-bi,"Crime,Drama,Romance, nm0001429"
Hannah and Her Sisters,"Comedy,Drama, nm0000323, nm0000095"
Happiness,"Comedy,Drama, nm0001484, nm0001754"
Happy People: A Year in the Taiga,"Documentary, nm3972084"
Harlan County U.S.A.,"Documentary, nm0465932"
Harold and Maude,"Comedy,Drama,Romance, nm0001069, nm0000797"
Harry Potter and the Deathly Hallows - Part 2,"Adventure,Family,Fantasy, nm0705356, nm0946734"
Harry Potter and the Deathly Hallows: Part 1,"Adventure,Family,Fantasy, nm0705356, nm0946734"
Harry Potter and the Goblet of Fire,"Adventure,Family,Fantasy, nm0705356, nm0001565"
Harry Potter and the Half-Blood Prince,"Action,Adventure,Family, nm0705356, nm0946734"
Harry Potter and the Order of the Phoenix,"Action,Adventure,Family, nm0705356, nm0946734"
Harry Potter and the Prisoner of Azkaban,"Adventure,Family,Fantasy, nm0705356, nm0190859"
Harry Potter and the Sorcerer's Stone,"Adventure,Family,Fantasy, nm0705356, nm0001060"
Harvey,"Comedy,Drama,Fantasy, nm0000071, nm0467396"
Hauru no ugoku shiro,"Adventure,Animation,Family, nm0454120, nm0594503"
Hearts of Darkness: A Filmmaker's Apocalypse,"Documentary, nm0046943"
Heat,"Action,Crime,Drama, nm0000199, nm0000520"
Hedwig and the Angry Inch,"Comedy,Drama,Music, nm0593463"
Heerak Rajar Deshe,"Comedy,Drama,Family, nm0154170, nm0006249"
Hell or High Water,"Crime,Drama,Thriller, nm1517976, nm0533284"
Hellaro,"Drama, nm6953296, nm6390316"
Henry V,"Biography,Drama,History, nm0000110"
Her,"Drama,Romance,Sci-Fi, nm0001618, nm0005069"
Her Sey Çok Güzel Olacak,"Comedy,Drama,Thriller, nm0948000, nm0889943"
Hera Pheri,"Action,Comedy,Crime, nm0474774, nm0698184"
Here Comes Mr. Jordan,"Comedy,Fantasy,Romance, nm0599910, nm0355284"
Hey Ram,"Crime,Drama,History, nm0352032"
Hichki,"Comedy,Drama, nm8565406, nm1656481"
Hidden Figures,"Biography,Drama,History, nm0000126, nm0577647"
High Noon,"Drama,Thriller,Western, nm0000011, nm0003593"
High Sierra,"Action,Adventure,Drama, nm0000007, nm0909825"
Highway,"Crime,Drama,Romance, nm0393535, nm1665004"
Hindi Medium,"Comedy,Drama, nm0451234, nm1062080"
Hiroshima mon amour,"Drama,Romance, nm0645402, nm0720297"
His Girl Friday,"Comedy,Drama,Romance, nm0000026, nm0001328"
Hit,"Action,Crime,Drama, nm9876442, nm10466813"
Hobson's Choice,"Comedy,Drama,Romance, nm0001452, nm0000180"
Hodejegerne,"Action,Crime,Thriller, nm0377336, nm0878763"
Hoje Eu Quero Voltar Sozinho,"Drama,Romance, nm3978701, nm2406154"
Holiday,"Comedy,Romance, nm0000026, nm0002030"
Home,"Documentary, nm0037867"
Home Alone,"Comedy,Family, nm0000346, nm0001060"
Homecoming: A Film by Beyoncé,"Documentary,Music, nm11366983, nm3681833"
Hoop Dreams,"Documentary,Drama,Sport, nm0416945"
Horse Feathers,"Comedy,Family,Musical, nm0000050, nm0572851"
Hot Fuzz,"Action,Comedy,Mystery, nm0670408, nm0942367"
Hotaru no haka,"Animation,Drama,War, nm0851302, nm0847223"
Hotarubi no mori e,"Animation,Drama,Fantasy, nm2146022, nm0648464"
Hotel Mumbai,"Action,Drama,History, nm2353862, nm2285536"
Hotel Rwanda,"Biography,Drama,History, nm0000332, nm0313623"
House of Sand and Fog,"Crime,Drama, nm0001426, nm1166926"
How Green Was My Valley,"Drama,Family, nm0682074, nm0000406"
How to Make Money Selling Drugs,"Crime,Documentary, nm2288785"
How to Steal a Million,"Comedy,Crime,Romance, nm0000564, nm0943758"
How to Train Your Dragon,"Action,Adventure,Animation, nm0059431, nm0213450"
How to Train Your Dragon 2,"Action,Adventure,Animation, nm0059431, nm0213450"
Hridayam,"Drama,Musical,Romance, nm3387048, nm2068971"
Hud,"Drama,Western, nm0000056, nm0728688"
Hugo,"Adventure,Drama,Family, nm2633535, nm0000217"
Hum Aapke Hain Koun..!,"Comedy,Drama,Musical, nm0006795, nm0054744"
Human,"Documentary, nm0037867"
Hungama,"Comedy,Drama,Romance, nm0451379, nm0698184"
Hunger,"Biography,Crime,Drama, nm0334324, nm2588606"
Hunt for the Wilderpeople,"Adventure,Comedy,Drama, nm0000554, nm0169806"
Huo Yuan Jia,"Action,Biography,Drama, nm0001472, nm0950553"
Huo zhe,"Drama,War, nm0311212, nm0955443"
Husbands and Wives,"Comedy,Drama,Romance, nm0000095"
"Hush...Hush, Sweet Charlotte","Crime,Drama,Mystery, nm0001072, nm0000736"
HyperNormalisation,"Documentary, nm0193231"
Häxan,"Documentary,Fantasy,Horror, nm0159725"
Hævnen,"Drama,Romance, nm0675409, nm0081540"
Höstsonaten,"Drama,Music, nm0084917, nm0000005"
I Am Greta,"Biography,Documentary, nm5548363"
I Am Not Your Negro,"Documentary,History, nm0000168, nm0669704"
I Am Sam,"Drama, nm0000576, nm0625458"
I Am a Fugitive from a Chain Gang,"Crime,Drama,Film-Noir, nm0612847, nm0503777"
I Know Where I'm Going!,"Drama,Romance, nm0515193, nm0003836"
I Want to Live!,"Biography,Crime,Drama, nm0643000, nm0936404"
I cento passi,"Biography,Crime,Drama, nm0516222, nm0320285"
I soliti ignoti,"Comedy,Crime, nm0002094, nm0598102"
I vitelloni,"Comedy,Drama, nm0814773, nm0000019"
"I, Daniel Blake","Drama, nm0424302, nm0516360"
"I, Tonya","Biography,Comedy,Drama, nm1659221, nm0318916"
Ice Age,"Adventure,Animation,Comedy, nm0001459, nm0917188"
Ice Cold in Alex,"Adventure,Drama,War, nm0590055, nm0496746"
Idi i smotri,"Drama,Thriller,War, nm0470385, nm0459552"
Ikiru,"Drama, nm0793766, nm0000041"
Il bidone,"Comedy,Drama, nm0002024, nm0000019"
Il bisbetico domato,"Comedy,Romance, nm0147983, nm0144689"
"Il buono, il brutto, il cattivo","Adventure,Western, nm0000142, nm0001466"
Il conformista,"Drama, nm0004462, nm0000934"
Il deserto rosso,"Drama, nm0001321, nm0000774"
Il gattopardo,"Drama,History, nm0000044, nm0899581"
Il grande silenzio,"Western, nm0004462, nm0179281"
Il postino,"Biography,Comedy,Drama, nm0873385, nm0705535"
Il posto,"Drama, nm0659745, nm0647438"
Il sorpasso,"Comedy,Drama, nm0002094, nm0728271"
Il vangelo secondo Matteo,"Biography,Drama,History, nm0409820, nm0001596"
Il y a longtemps que je t'aime,"Drama, nm0371891, nm1061623"
Im Juli,"Adventure,Comedy,Romance, nm0001953, nm0015359"
Im Westen nichts Neues,"Action,Drama,War, nm0436835, nm0074163"
Imitation of Life,"Drama, nm0001260, nm0802862"
In America,"Drama, nm0175916, nm0006487"
In Bruges,"Comedy,Crime,Drama, nm0268199, nm1732981"
In Cold Blood,"Biography,Crime,Drama, nm0086706, nm0112218"
In Harihar Nagar,"Comedy,Crime,Mystery, nm0611481, nm0482309"
In a Lonely Place,"Drama,Film-Noir,Mystery, nm0000007, nm0712947"
In the Heat of the Night,"Drama,Mystery,Thriller, nm0001627, nm0422484"
In the Name of the Father,"Biography,Crime,Drama, nm0000358, nm0006487"
In the Shadow of the Moon,"Documentary,History, nm2270163"
Incendies,"Drama,Mystery, nm0309945, nm0898288"
Inception,"Action,Adventure,Sci-Fi, nm0000138, nm0634240"
Incredibles 2,"Action,Adventure,Animation, nm0005266, nm0083348"
Indagine su un cittadino al di sopra di ogni sospetto,"Crime,Drama, nm0002231, nm0677880"
India Lockdown,"Adventure,Drama, nm3070408, nm1055105"
India's Space Odyssey,"Documentary, nm0534856, nm8201287"
Indian,"Action,Drama,Thriller, nm0352032, nm0788171"
Indiana Jones and the Last Crusade,"Action,Adventure, nm0000148, nm0000229"
Indiana Jones and the Temple of Doom,"Action,Adventure, nm0000148, nm0000229"
Indie Game: The Movie,"Documentary,Drama, nm1515795"
Inequality for All,"Documentary, nm0466428"
Inglourious Basterds,"Adventure,Drama,War, nm0000093, nm0000233"
Inherit the Wind,"Biography,Drama,History, nm0000075, nm0006452"
Inside I'm Dancing,"Comedy,Drama, nm0564215, nm0640740"
Inside Job,"Crime,Documentary, nm2480587"
Inside Man,"Crime,Drama,Mystery, nm0000243, nm0000490"
Inside Out,"Adventure,Animation,Comedy, nm0352778, nm0230032"
Interstate 60: Episodes of the Road,"Adventure,Comedy,Drama, nm0005188, nm0301826"
Interstella 5555: The 5tory of the 5ecret 5tar 5ystem,"Adventure,Animation,Music, nm1586885, nm0632788"
Interstellar,"Adventure,Drama,Sci-Fi, nm0000190, nm0634240"
Interview with the Vampire: The Vampire Chronicles,"Drama,Fantasy,Horror, nm0000093, nm0001403"
Into the Wild,"Adventure,Biography,Drama, nm0386472, nm0000576"
Intolerance: Love's Struggle Throughout the Ages,"Drama,History, nm0366008, nm0000428"
Intouchables,"Biography,Comedy,Drama, nm0167388, nm0619923"
Invasion of the Body Snatchers,"Drama,Horror,Sci-Fi, nm0002994, nm0796923"
Ip Man,"Action,Biography,Drama, nm0947447, nm0948159"
Iqbal,"Drama,Sport, nm1662277, nm0474398"
Iron Man,"Action,Adventure,Sci-Fi, nm0000375, nm0269463"
Irudhi Suttru,"Action,Drama,Sport, nm0534856, nm1464314"
Iruvar,"Biography,Drama, nm0482320, nm0711745"
Isle of Dogs,"Adventure,Animation,Comedy, nm0186505, nm0027572"
Istoria mias kalpikis liras,"Drama,Romance, nm0517767, nm0419485"
It Happened One Night,"Comedy,Romance, nm0000022, nm0001008"
It Might Get Loud,"Documentary,Music, nm0346550"
It's Such a Beautiful Day,"Animation,Comedy,Drama, nm0381116"
It's a Mad Mad Mad Mad World,"Action,Adventure,Comedy, nm0000075, nm0006452"
It's a Wonderful Life,"Drama,Family,Fantasy, nm0000071, nm0001008"
Itirazim Var,"Action,Crime,Drama, nm11823172, nm1729447"
Ivan Groznyy,"Biography,Drama,History, nm0003540, nm0001178"
Ivan Groznyy. Skaz vtoroy: Boyarskiy zagovor,"Biography,Drama,History, nm0003540, nm0001178"
Ivan Vasilevich menyaet professiyu,"Adventure,Comedy,Sci-Fi, nm0945085, nm0301145"
Ivanovo detstvo,"Drama,War, nm0122168, nm0001789"
Izgnanie,"Drama,Romance, nm0492249, nm1168657"
J'ai perdu mon corps,"Animation,Drama,Fantasy, nm7079932, nm3021346"
JFK,"Drama,History,Thriller, nm0000126, nm0000231"
Jaane Bhi Do Yaaro,"Comedy,Crime,Drama, nm0787462, nm0787453"
Jab We Met,"Comedy,Drama,Romance, nm1372788, nm1665004"
Jackie Brown,"Crime,Drama,Thriller, nm0000168, nm0000233"
Jagten,"Drama, nm0586568, nm0899121"
Jai Bhim,"Crime,Drama,Mystery, nm1421814, nm4377096"
Jalsaghar,"Drama,Music, nm0084435, nm0006249"
James,"Action,Comedy,Drama, nm2500160, nm6815084"
Jana Gana Mana,"Crime,Drama,Thriller, nm1335387, nm8920189"
Jane Eyre,"Drama,Romance, nm0000080, nm0829038"
Jaws,"Adventure,Thriller, nm0001702, nm0000229"
Jean de Florette,"Comedy,Drama, nm0598971, nm0001945"
"Jeanne Dielman 23,Quai du Commerce 1080 Bruxelles","Drama, nm0213964, nm0001901"
Jeder für sich und Gott gegen alle,"Biography,Drama,History, nm0754165, nm0001348"
Jeremiah Johnson,"Adventure,Drama,Western, nm0000602, nm0001628"
Jersey,"Drama,Sport, nm3761004, nm9450602"
Jeux d'enfants,"Comedy,Drama,Romance, nm0133899, nm1077168"
Jeux interdits,"Comedy,Drama,War, nm0693560, nm0167496"
Jibon Theke Neya,"Drama,Family,War, nm2593193, nm2513556"
Jigarthanda,"Action,Comedy,Crime, nm1413459, nm5366274"
Jigeum mannareo gabmida,"Drama,Fantasy,Romance, nm1234414, nm9671684"
"Jim & Andy: The Great Beyond - Featuring a Very Special, Contractually Obligated Mention of Tony Clifton","Documentary, nm0807687"
Jin ling shi san chai,"Drama,History,Romance, nm0000288, nm0955443"
Jing wu ying xiong,"Action,Drama, nm0001472, nm0150906"
Jiro Dreams of Sushi,"Documentary, nm0312173"
Jo Jeeta Wohi Sikandar,"Comedy,Drama,Romance, nm0451148, nm0451257"
Jodaeiye Nader az Simin,"Drama, nm1818216, nm1410815"
Jodhaa Akbar,"Action,Drama,History, nm0004335, nm0332950"
Jodorowsky's Dune,"Documentary, nm0667650"
Johnny Gaddaar,"Crime,Drama,Mystery, nm0004429, nm1437189"
Johnny Got His Gun,"Drama,War, nm0000961, nm0874308"
Johnny Guitar,"Drama,Western, nm0001330, nm0712947"
Joji,"Crime,Drama, nm1335704"
Jojo Rabbit,"Comedy,Drama,War, nm9877392"
Joker,"Crime,Drama,Thriller, nm0001618, nm0680846"
Jolly LLB,"Comedy,Drama, nm0451174, nm1378015"
Jordan,"Drama, nm8414138, nm13840942"
Journal d'un curé de campagne,"Drama, nm0493508, nm0000975"
Joyeux Noël,"Drama,History,Music, nm0299811, nm0137228"
Ju Dou,"Drama,Romance, nm0508536, nm0955443"
Judgment at Nuremberg,"Drama,War, nm0000075, nm0006452"
Jui kuen II,"Action,Comedy, nm0000329, nm0514906"
Jules et Jim,"Drama,Romance, nm0921459, nm0000076"
Jungfrukällan,"Drama, nm0001884, nm0000005"
Juno,"Comedy,Drama, nm0680983, nm0718646"
Jurassic Park,"Action,Adventure,Sci-Fi, nm0000554, nm0000229"
Jusqu'à la garde,"Drama,Thriller, nm1616970, nm0499488"
Just Mercy,"Biography,Crime,Drama, nm0430107, nm2308774"
Juzni vetar,"Crime,Drama,Thriller, nm2161450, nm1911624"
Jésus de Montréal,"Drama,Romance, nm0089937, nm0000780"
Jôi-uchi: Hairyô tsuma shimatsu,"Drama, nm0001536, nm0462030"
Jûbê ninpûchô,"Action,Adventure,Animation, nm0945290, nm0159109"
Jûsan-nin no shikaku,"Action,Adventure,Drama, nm0945131, nm0586281"
K.G.F: Chapter 1,"Action,Crime,Drama, nm5232139, nm6073824"
K.G.F: Chapter 2,"Action,Crime,Drama, nm5232139, nm6073824"
Kaakha..Kaakha: The Police,"Action,Crime,Drama, nm1421814, nm1069826"
Kaakkaa Muttai,"Comedy,Drama, nm6717591, nm4359637"
Kabadayi,"Action,Crime,Drama, nm0784038, nm0889943"
Kabhi Haan Kabhi Naa,"Comedy,Drama,Music, nm0451321, nm0787453"
Kad porastem bicu Kengur,"Comedy, nm0872729, nm0028968"
Kadaisi Vivasayi,"Comedy,Drama, nm13418916, nm4359637"
Kader,"Drama, nm1832249, nm0218547"
Kadhanika,"Thriller, nm9627615, nm12417026"
Kagemusha,"Drama,History,War, nm0619938, nm0000041"
Kaguya-hime no monogatari,"Animation,Drama,Family, nm0001001, nm0847223"
Kahaani,"Mystery,Thriller, nm1913625, nm1223910"
Kai po che!,"Drama,Sport, nm2815326, nm0438461"
Kaidan,"Drama,Fantasy,Horror, nm0586733, nm0462030"
Kaithi,"Action,Adventure,Crime, nm1912683, nm7992231"
Kakushi ken: Oni no tsume,"Drama,History,Romance, nm0619185, nm0945282"
Kakushi-toride no san-akunin,"Action,Adventure,Drama, nm0001536, nm0000041"
Kal Ho Naa Ho,"Comedy,Drama,Musical, nm0451321, nm0012541"
Kamera o tomeru na!,"Comedy,Drama,Horror, nm9576872, nm4940051"
Kanal,"Drama,War, nm0417361, nm0906667"
Kannathil Muthamittal,"Action,Drama,War, nm0534856, nm0711745"
Kannum Kannum Kollaiyadithaal,"Drama,Romance,Thriller, nm4921260, nm9647748"
Kantara,"Action,Adventure,Drama, nm6142895"
Kapicilar Krali,"Comedy,Drama, nm0839017, nm0006703"
Kapoor & Sons,"Comedy,Drama,Family, nm0438501, nm2439708"
Karakter,"Crime,Drama,Mystery, nm0208798, nm0226016"
Karaula,"Comedy,Drama, nm1974780, nm0342748"
Karigurashi no Arietty,"Adventure,Animation,Drama, nm0004715, nm0948488"
Karnan,"Action,Drama, nm1333687, nm6041683"
Karpuz Kabugundan Gemiler Yapmak,"Comedy,Drama,Family, nm1772529, nm1204496"
Karthikeya 2,"Action,Adventure,Fantasy, nm2981266, nm6649966"
Karwaan,"Adventure,Comedy,Drama, nm0451234, nm2410557"
Kaththi,"Action,Drama, nm0897201, nm1436693"
Katyar Kaljat Ghusali,"Musical, nm0755113"
Kauas pilvet karkaavat,"Comedy,Drama, nm0904901, nm0442454"
Kaun Pravin Tambe?,"Biography,Drama,Sport, nm9388881, nm3304159"
"Kavkazskaya plennitsa, ili Novye priklyucheniya Shurika","Adventure,Comedy,Drama, nm0218849, nm0301145"
Kaybedenler Kulübü,"Comedy,Drama,Romance, nm1625479, nm1376035"
Kaze no tani no Naushika,"Adventure,Animation,Sci-Fi, nm0875332, nm0594503"
Kaze tachinu,"Animation,Biography,Drama, nm0030417, nm0594503"
Kedi,"Documentary, nm2167704"
Kelebegin Rüyasi,"Biography,Drama,History, nm1833525, nm12483011"
Kelly's Heroes,"Adventure,Comedy,War, nm0000142, nm0404606"
Kes,"Drama,Family, nm0103193, nm0516360"
Keulraesik,"Drama,Romance, nm1251770, nm1030706"
Key Largo,"Action,Crime,Drama, nm0000007, nm0001379"
Khaleja,"Action,Comedy,Fantasy, nm1121870, nm1894520"
Khane-ye doust kodjast?,"Drama,Family, nm0690974, nm0452102"
Khosla Ka Ghosla!,"Comedy,Crime,Drama, nm0451600, nm1962313"
Khuda Haafiz Chapter II: Agni Pariksha,"Action,Crime,Drama, nm4651098, nm2366197"
Khuda Kay Liye,"Drama, nm0787030, nm2716176"
Kibar Feyzo,"Comedy,Drama, nm0839017, nm0947998"
Kiborgy. Heroyi ne vmyrayut,"Action,Drama,War, nm9457414, nm1982961"
Kick-Ass,"Action,Comedy,Crime, nm1093951, nm0891216"
Kikujirô no natsu,"Comedy,Drama, nm0001429"
Kiler,"Action,Comedy,Crime, nm0668640, nm0532702"
Kill Bill: The Whole Bloody Affair,"Action,Crime,Thriller, nm0000514, nm0000233"
Kill Bill: Vol. 1,"Action,Crime,Drama, nm0001016, nm0000233"
Kill Bill: Vol. 2,"Action,Crime,Thriller, nm0001016, nm0000233"
Kilukkam,"Comedy, nm0482320, nm0698184"
Kimetsu no Yaiba: Asakusa Hen,"Action,Animation,Fantasy, nm1417038"
Kimetsu no Yaiba: Mugen Ressha-Hen,"Action,Adventure,Animation, nm5137121, nm1417038"
Kimetsu no Yaiba: Natagumo Yama Hen,"Action,Animation,Fantasy, nm1417038"
Kimetsu no Yaiba: Tsuzumi Yashiki Hen,"Action,Animation,Fantasy, nm1417038"
Kimi no na wa.,"Animation,Drama,Fantasy, nm1126340, nm1396121"
Kimi no suizô o tabetai,"Animation,Drama,Family, nm4350996, nm9026707"
Kimssi pyoryugi,"Comedy,Drama,Romance, nm1045684, nm1409622"
Kin-dza-dza!,"Comedy,Drama,Sci-Fi, nm0529402, nm0199381"
Kind Hearts and Coronets,"Comedy,Crime, nm0696866, nm0357607"
King Kong,"Adventure,Horror,Sci-Fi, nm0035877, nm0178260"
King Richard,"Biography,Drama,Sport, nm0000226, nm3232264"
Kingsman: The Secret Service,"Action,Adventure,Comedy, nm0000147, nm0891216"
Kiraware Matsuko no isshô,"Comedy,Drama,Musical, nm1216345, nm0620363"
Kireedam,"Action,Drama, nm0482320, nm0539034"
Kirik Party,"Comedy,Drama, nm5756214, nm6142895"
Kirikou et la sorcière,"Adventure,Animation,Family, nm3251022, nm0643664"
Kis Uykusu,"Drama, nm0082211, nm0149196"
Kiss Kiss Bang Bang,"Comedy,Crime,Mystery, nm0000375, nm0000948"
Kiss Me Deadly,"Crime,Film-Noir,Mystery, nm0576127, nm0000736"
Kiss the Ground,"Documentary, nm1288736"
Klass,"Drama, nm2424610, nm0704664"
Klaus,"Adventure,Animation,Comedy, nm0005403, nm0655053"
Klopka,"Crime,Drama,Thriller, nm0322977, nm0326740"
Knives Out,"Comedy,Crime,Drama, nm0185819, nm0426059"
Knockin' on Heaven's Door,"Action,Comedy,Crime, nm0001709, nm0415714"
Ko,"Action,Thriller, nm1883318, nm0433895"
Ko to tamo peva,"Adventure,Comedy,Drama, nm0904303, nm0797672"
Koe no katachi,"Animation,Drama, nm0997115, nm2210720"
Kokuhaku,"Drama,Thriller, nm2347861, nm0620363"
Kolja,"Comedy,Drama,Music, nm0006664, nm0841232"
Konda,"Action,Biography,Drama, nm13727782, nm0890060"
Kongen av Bastøy,"Action,Drama, nm0375860, nm0392319"
Kono sekai no katasumi ni,"Animation,Drama,Family, nm0441090"
Kontroll,"Comedy,Crime,Drama, nm0190800, nm0030735"
Korkusuz Korkak,"Adventure,Comedy, nm0839017, nm0047971"
Koyaanisqatsi,"Documentary,Music, nm0716585"
Kozure Ôkami: Ko wo kashi ude kashi tsukamatsuru,"Action,Adventure, nm0423663, nm0593014"
Kozure Ôkami: Sanzu no kawa no ubaguruma,"Action,Adventure,Drama, nm0423663, nm0593014"
Kramer vs. Kramer,"Drama, nm0000163, nm0000914"
Kranti,"Action,Drama, nm3131753, nm3132095"
Krótki film o milosci,"Drama,Romance, nm0523821, nm0001425"
Krótki film o zabijaniu,"Crime,Drama, nm0048121, nm0001425"
Kubo and the Two Strings,"Action,Adventure,Animation, nm3280686, nm1325899"
Kuch Kuch Hota Hai,"Comedy,Drama,Musical, nm0451321, nm0424103"
Kukushka,"Comedy,Drama,War, nm0351868, nm0737400"
Kumbalangi Nights,"Comedy,Drama,Romance, nm5939214, nm7958316"
Kumonosu-jô,"Drama,History, nm0001536, nm0000041"
Kung Fu Panda,"Action,Adventure,Animation, nm0085312, nm0651706"
Kung fu,"Action,Comedy,Fantasy, nm0159507"
Kurenai no buta,"Adventure,Animation,Comedy, nm0605797, nm0594503"
Kuruthi,"Thriller, nm1335387, nm4145594"
Kuruthipunal,"Action,Drama,Thriller, nm0352032, nm0820269"
Kárhozat,"Crime,Drama,Romance, nm0844462, nm0850601"
Kôkaku Kidôtai,"Action,Animation,Crime, nm0443509, nm0651900"
Kôkaku kidôtai 2.0,"Action,Animation,Crime, nm0960033, nm0651900"
Körkarlen,"Drama,Fantasy,Horror, nm0803705"
Köyden Indim Sehire,"Adventure,Comedy,Crime, nm0839017, nm0251027"
L'Atalante,"Comedy,Drama,Romance, nm0202120, nm0897118"
L'albero degli zoccoli,"Drama,History, nm0650293, nm0647438"
"L'amour, l'après-midi","Comedy,Drama,Romance, nm0894302, nm0006445"
L'année dernière à Marienbad,"Drama,Mystery, nm0016617, nm0720297"
L'argent de poche,"Comedy,Drama, nm0221497, nm0000076"
L'armée des ombres,"Drama,War, nm0893341, nm0578483"
L'avventura,"Drama,Mystery,Romance, nm0275213, nm0000774"
L'eclisse,"Drama,Romance, nm0001128, nm0000774"
L'enfant sauvage,"Biography,Drama,History, nm0000076"
L'illusionniste,"Animation,Drama,Fantasy, nm0232357, nm0158984"
L'instinct de mort,"Action,Biography,Crime, nm0001993, nm0724938"
L'insulte,"Crime,Drama,Thriller, nm2316384, nm0234780"
L'ours,"Adventure,Drama,Family, nm0001409, nm0000269"
L.A. Confidential,"Crime,Drama,Mystery, nm0000228, nm0000436"
LA 92,"Crime,Documentary,History, nm2418675"
La Belle Noiseuse,"Drama, nm0681566, nm0729626"
La Danza de la Realidad,"Biography,Drama,Fantasy, nm0423526"
La La Land,"Comedy,Drama,Music, nm0331516, nm3227090"
La Môme,"Biography,Drama,Music, nm0339621, nm0196860"
La battaglia di Algeri,"Drama,War, nm0352835, nm0690597"
La belle et la bête,"Drama,Fantasy,Romance, nm0544786, nm0168413"
La bête humaine,"Crime,Drama, nm0300064, nm0719756"
La ciociara,"Drama,War, nm0000901, nm0001120"
La cité de la peur,"Comedy,Horror, nm0149260, nm0073322"
La cité des enfants perdus,"Drama,Fantasy,Sci-Fi, nm0000579, nm0001988"
La cérémonie,"Crime,Drama,Thriller, nm0144045, nm0001031"
La dolce vita,"Comedy,Drama, nm0000052, nm0000019"
La double vie de Véronique,"Drama,Fantasy,Music, nm0468651, nm0001425"
La fille sur le pont,"Comedy,Drama,Romance, nm0000809, nm0496312"
La gloire de mon père,"Adventure,Biography,Drama, nm0146431, nm0002216"
La grande bellezza,"Drama, nm0785842, nm0815204"
La grande illusion,"Drama,War, nm0300064, nm0719756"
La grande vadrouille,"Adventure,Comedy,War, nm0100186, nm0653620"
La haine,"Crime,Drama, nm0001993, nm0440913"
La historia oficial,"Drama,History, nm0022765, nm0699933"
La leggenda del pianista sull'oceano,"Drama,Music,Romance, nm0000619, nm0868153"
La lengua de las mariposas,"Drama,War, nm0523595, nm0191109"
La ley de Herodes,"Comedy,Crime,Drama, nm0017343, nm0261840"
La marche de l'empereur,"Documentary,Family, nm0000151, nm0415207"
La meglio gioventù,"Drama,Romance, nm0516222, nm0320285"
La migliore offerta,"Crime,Drama,Mystery, nm0001691, nm0868153"
La montaña sagrada,"Adventure,Drama,Fantasy, nm0423524"
La noche de 12 años,"Adventure,Biography,Crime, nm0209409, nm1304308"
La notte,"Drama, nm0000052, nm0000774"
La nuit américaine,"Comedy,Drama,Romance, nm0529543"
La passion de Jeanne d'Arc,"Biography,Drama,History, nm0798564, nm0003433"
La peau douce,"Drama,Romance, nm0220852, nm0000076"
La pianiste,"Drama,Music, nm0536095, nm0359734"
La piel que habito,"Drama,Horror,Mystery, nm0000104, nm0000264"
La planète sauvage,"Animation,Sci-Fi, nm0000960, nm0482537"
La promesse,"Drama, nm0753737, nm0201094"
La règle du jeu,"Comedy,Drama, nm0197950, nm0719756"
La strada,"Drama, nm0000063, nm0000019"
La tortue rouge,"Animation,Drama,Family, nm0307430, nm0240196"
La vie d'Adèle,"Drama,Romance, nm0444248, nm0444244"
La vita è bella,"Comedy,Drama,Romance, nm0000905"
Lacombe Lucien,"Drama,Romance,War, nm0086443, nm0001501"
Ladri di biciclette,"Drama, nm0536009, nm0001120"
Lagaan: Once Upon a Time in India,"Drama,Musical,Sport, nm0451148, nm0332950"
Lage Raho Munna Bhai,"Comedy,Drama,Romance, nm0004569, nm0386246"
Lajanje na zvezde,"Comedy,Romance, nm0584020, nm0815638"
Lakposhtha parvaz mikonand,"Drama,War, nm1714874, nm0315842"
Lakshya,"Action,Drama,Romance, nm0004335, nm1027719"
Land and Freedom,"Drama,War, nm0001324, nm0516360"
Lanke,"Drama, nm5701208, nm12799844"
Last Breath,"Documentary, nm1469305"
Lat sau san taam,"Action,Crime,Thriller, nm0000334, nm0000247"
Laura,"Drama,Film-Noir,Mystery, nm0000763, nm0695937"
Laurence Anyways,"Drama,Romance, nm0693799, nm0230859"
Lawrence of Arabia,"Adventure,Biography,Drama, nm0000564, nm0000180"
Lazzaro felice,"Drama,Fantasy,Mystery, nm9197692, nm3114621"
Le Petit Prince,"Adventure,Animation,Drama, nm0000313, nm0651706"
Le Samouraï,"Crime,Drama, nm0001128, nm0578483"
Le bonheur,"Drama,Romance, nm0238379, nm0889513"
Le cercle rouge,"Crime,Drama,Thriller, nm0001128, nm0578483"
Le charme discret de la bourgeoisie,"Comedy, nm0721073, nm0000320"
Le concert,"Comedy,Drama,Music, nm0348888, nm0586123"
Le conseguenze dell'amore,"Crime,Drama,Romance, nm0785842, nm0815204"
Le corbeau,"Crime,Drama,Mystery, nm0294382, nm0167241"
Le deuxième souffle,"Crime,Drama, nm0893341, nm0578483"
Le doulos,"Crime,Thriller, nm0000901, nm0578483"
